categorie,details,adresse,chambres,superficie,prix,image_lien
Appartements à louer,Superbe F4 à Louer aux Almadies,"Almadies, Dakar",3 chambre,,600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0ad577be1a141789a7c4bc6dc5176c4d/-/horizon-files-prod/ed/picture/q2j0nzj8/3812389d6cc81dcaef58abbe2d9b8d1cc9c8efc5.jpg
Appartements à louer,Appartement grand standing à louer à Fann Résidence,"Fann, Dakar",3 chambre,,2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/375d2cba4b8df93b6b2baf5fcb4c6cb7/-/horizon-files-prod/ed/picture/qj46p7dv/c47487f9dc6113f4c8b5e691d743a747361886a9.jpg
Appartements à louer,Appartement à louer à Bourguiba près du centre ville,"Avenue Bourguiba, Dakar",3 chambre,,800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/05d76f593681eb33cbddbf1c263fde1e/-/horizon-files-prod/ed/picture/q9mjkwvv/28bd9372e3d459ff001cf9dd45e0c30f798345b4.jpg
Appartements à louer,Ref_2690_GL F2 à louer vide sur la route du King Fahd,"Almadies, Dakar",1 chambre,,950 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f908c4fd7365ce415bc5a0cf4b743b2/-/horizon-files-prod/ed/picture/q6xqr7rg/c98fadd0ace2ee62e0a8225706c4f47327763f26.jpg
Appartements à louer,Appartement F5 non meublé à louer à Yoff,"Yoff, Dakar",4 chambre,225 m²,800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a950b67afc824c8a86d674c0595ee78e/-/horizon-files-prod/ed/picture/q6xq6qgg/0774873b136e19a4c538720b5a7a3f0959f7c7e0.jpg
Appartements à louer,Appartements à louer aux maristes,"Hann maristes, Dakar",2 chambre,,350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5ad06347a5baa586e80992a5f9d76ba3/-/horizon-files-prod/ed/picture/q4450ex5/53579dba36a875831c9f7decab801a91a0f758ba.jpg
Appartements à louer,Appartement à louer aux Maristes,"Hann maristes, Dakar",2 chambre,,400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8b1dbc2c181316f10e8a4fb0830c4b08/-/horizon-files-prod/ed/picture/qwergqdz/701025968115fa867af25e70e9b94a5574201604.jpg
Appartements à louer,STUDIO AUX MAMELLES,"Mamelles, Dakar",1 chambre,,225 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2359a2a3c61811619915374aa8c45c95/-/horizon-files-prod/ed/picture/qng97qg9/3193ad015aa9b7783a01eadc2dfa2e07f3167006.jpg
Appartements à louer,APPARTEMENT AUX MAMELLES,"Mamelles, Dakar",2 chambre,,300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/16864781b006148f98715f775fa38688/-/horizon-files-prod/ed/picture/qv4wn6jp/179f3854dd47fc56dc75a3d368daccbc3b957557.jpg
Appartements à louer,APPARTEMENTS F4 POINT E,"Point-e, Dakar",3 chambre,,600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62da7ec42244aa41315e689961344034/-/horizon-files-prod/ed/picture/qpdmrw7p/21126aa9e5f809abb774452cdfdda4c0a1031537.jpg
Appartements à louer,APPARTEMENT À LOUER AUX ALMADIES,"Almadies, Dakar",3 chambre,,500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/915b5586e4f1c30fbafdac634976acc7/-/horizon-files-prod/ed/picture/qwergjw5/a59e4c7bf5132409b925ffdf87d517124127e44a.jpg
Appartements à louer,APPARTEMENT À LOUER NGOR-ALMADIES,"Almadies, Dakar",2 chambre,,500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ab2b86c2eddb7663939bc28fec40a661/-/horizon-files-prod/ed/picture/q2j0pe5q/704bbdf58f15768a6e1582b4b2cf488f431cf4fe.jpg
Appartements à louer,APPARTEMENT À LOUER AUX MAMELLES,"Mamelles, Dakar",2 chambre,,300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/84d08cc1765df865095c2adc947717c1/-/horizon-files-prod/ed/picture/qgqwe8mn/8f9cd6a8b6186a2138d23634036da21b503991c8.jpg
Appartements à louer,APPARTEMENTS AUX MAMELLES,"Mamelles, Dakar",3 chambre,,350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/890c4e91bd6eabc3a3ccabb543887a02/-/horizon-files-prod/ed/picture/q4450k7e/2bffd054260933a8fa6b628e0089387e9f149991.jpg
Appartements à louer,Appartement à louer à ngor almadies,"Almadies, Dakar",3 chambre,215 m²,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/763d63e184e4116466233ee52c01f876/-/horizon-files-prod/ed/picture/q445j4j2/71d21a6124cf91bdf1faad0547a8f50ee27ef8c0.jpg
Appartements à louer,Très grand F7 à la cité Africa de Ouakam,"Ouakam, Dakar",6 chambre,300 m²,3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/460c2190036edc52b5a845e7f8ca8c99/-/horizon-files-prod/ed/picture/q8vmpjen/72d6f77de0ec5c232ebeec60350e50f361622558.jpg
Appartements à louer,Aloue apartuman cite morda 2etage,"VDN, Dakar",,,400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e394090b1113898e0ae9033938ca8d3e/-/horizon-files-prod/ed/picture/q56p9kxg/a7fc8bb5081768a32c55dcb9d24c3e2a81ef64a9.jpg
Appartements à louer,Appartement à louer aux Maristes,"Hann maristes, Dakar",2 chambre,,300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ab8487b292ce651f003571cbd53abaa/-/horizon-files-prod/ed/picture/qkr7p8q5/16378ebb3d43d6579ab41c64771638e49ded6283.jpg
Appartements à louer,Appartement F4 pour bureau à Liberté 6 extension,"Liberte 6 extension, Dakar",3 chambre,,608 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6cbc8b8c192332d308435637d0a4a203/-/horizon-files-prod/ed/picture/qj46pnm4/bb23c6abe7b17831c5e67f7917915bee5036be4a.jpg
Appartements à louer,Ref_2843_GL Appartement F3 neuf à louer – Yoff,"Yoff, Dakar",2 chambre,,300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c6ac1683a6f2f8c7f7e7423c283d474f/-/horizon-files-prod/ed/picture/qrzrngjg/d7a773b4656403a83003c36d9dcfe8b0f562012a.png
Appartements à louer,Appartement à louer almadies,"Almadies, Dakar",3 chambre,200 m²,750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03038b140ac853a8a77cede0335350c7/-/horizon-files-prod/ed/picture/qj4qdg6z/6553c718334e756bb333b098ac82627a43e9cae1.jpg
Appartements à louer,Appartement f4 neuf à louer au point e,"Point-e, Dakar",3 chambre,150 m²,850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9086204ba698bfe0b84093611133d638/-/horizon-files-prod/ed/picture/q2jkr2vg/dfce0c0fc43c10e32bda2d81cb9291f72a506901.jpg
Appartements à louer,appartement f4 à louer à la cité Keur gorgui,"Cité keur gorgui, Dakar",3 chambre,150 m²,800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a48f1f4d6644fe2b7bfa71edd9f408b/-/horizon-files-prod/ed/picture/qkr8ejjm/34c411cc7c6ec8299ca0ec54a9bda19de43078fe.jpg
Appartements à louer,appartement de type f5 vue mer à louer fann 5eme étage,"Fann Hock, Dakar",200 m²,,1 554 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7f788a74ae4bbc91b765dd8d0dc62bdf/-/horizon-files-prod/ed/picture/qpdmrmwj/78ecb18e2f67a8864c89dd4f623b22f97b700691.jpg
Appartements à louer,Appartement f4 neuf à louer au point e,"Point-e, Dakar",3 chambre,238 m²,1 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0056d1122b465470fe9aecceb1ca09b/-/horizon-files-prod/ed/picture/qenr9w22/8665d9790e67db485033b66e87a52dbcb771ac8e.jpg
Appartements à louer,Superbe appartement de type F3 à louer à Mermoz,"Mermoz, Dakar",2 chambre,,"600 000 F Cfa
650 000 F Cfa",https://i.roamcdn.net/hz/ed/listing-thumb-224w/1c2793c11febcdf61239e6c23056a8d4/-/horizon-files-prod/ed/picture/qgqw44vr/a04d3d46402646d400c0ce85510750dfcd989b4b.jpg
Appartements à louer,DUPLEX A LOUER AUX MAMELLES,"Mamelles, Dakar",4 chambre,,600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d71528e51f70c1350daaf23ed40f6b6f/-/horizon-files-prod/ed/picture/q78jpexz/49536a04f407a5b9dbddd91ac484484f18c26bcd.jpg
